Symbol,Name
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
INFY,Infosys Limited
ICICIBANK,ICICI Bank Limited
BHARTIARTL,Bharti Airtel Limited
SBIN,State Bank of India
LICI,Life Insurance Corporation Of India
ITC,ITC Limited
HINDUNILVR,Hindustan Unilever Limited
LT,Larsen & Toubro Limited
BAJFINANCE,Bajaj Finance Limited
HCLTECH,HCL Technologies Limited
MARUTI,Maruti Suzuki India Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
ADANIENT,Adani Enterprises Limited
KOTAKBANK,Kotak Mahindra Bank Limited
TITAN,Titan Company Limited
ONGC,Oil & Natural Gas Corporation Limited
TATAMOTORS,Tata Motors Limited
NTPC,NTPC Limited
AXISBANK,Axis Bank Limited
ASIANPAINT,Asian Paints Limited
ULTRACEMCO,UltraTech Cement Limited
WIPRO,Wipro Limited
POWERGRID,Power Grid Corporation of India Limited
BAJAJFINSV,Bajaj Finserv Limited
JSWSTEEL,JSW Steel Limited
M&M,Mahindra & Mahindra Limited
TATASTEEL,Tata Steel Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
COALINDIA,Coal India Limited
SIEMENS,Siemens Limited
SBILIFE,SBI Life Insurance Company Limited
BAJAJ-AUTO,Bajaj Auto Limited
ADANIGREEN,Adani Green Energy Limited
DMART,Avenue Supermarts Limited
NESTLEIND,Nestle India Limited
PFC,Power Finance Corporation Limited
IOC,Indian Oil Corporation Limited
DLF,DLF Limited
VBL,Varun Beverages Limited
ZOMATO,Zomato Limited
HAL,Hindustan Aeronautics Limited
BHEL,Bharat Heavy Electricals Limited
JIOFIN,Jio Financial Services Limited
TRENT,Trent Limited
INDUSINDBK,IndusInd Bank Limited
CIPLA,Cipla Limited
TECHM,Tech Mahindra Limited
BPCL,Bharat Petroleum Corporation Limited
AMBUJACEM,Ambuja Cements Limited
DAAWAT,LT Foods Limited
IRFC,Indian Railway Finance Corporation Limited
RECLTD,REC Limited
PNB,Punjab National Bank
HINDALCO,Hindalco Industries Limited
DIVISLAB,Divi's Laboratories Limited
GAIL,GAIL (India) Limited
BANKBARODA,Bank of Baroda
EICHERMOT,Eicher Motors Limited
LTIM,LTIMindtree Limited
BEL,Bharat Electronics Limited
MOTHERSON,Samvardhana Motherson International Limited
TATACHEM,Tata Chemicals Limited
DRREDDY,Dr. Reddy's Laboratories Limited
BRITANNIA,Britannia Industries Limited
GODREJCP,Godrej Consumer Products Limited
GRASIM,Grasim Industries Limited
PIDILITIND,Pidilite Industries Limited
ADANIPOWER,Adani Power Limited
TATAPOWER,Tata Power Company Limited
HAVELLS,Havells India Limited
INDIGO,InterGlobe Aviation Limited
SHREECEM,Shree Cement Limited
SRF,SRF Limited
VEDL,Vedanta Limited
NAUKRI,Info Edge (India) Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
SBICARD,SBI Cards and Payment Services Limited
SHRIRAMFIN,Shriram Finance Limited
ABB,ABB India Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
DABUR,Dabur India Limited
CANBK,Canara Bank
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
MARICO,Marico Limited
TVSMOTOR,TVS Motor Company Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
BERGEPAINT,Berger Paints India Limited
BOSCHLTD,Bosch Limited
JINDALSTEL,Jindal Steel & Power Limited
ALKEM,Alkem Laboratories Limited
ZYDUSLIFE,Zydus Lifesciences Limited
MANKIND,Mankind Pharma Limited
UBL,United Breweries Limited
IDEA,Vodafone Idea Limited
POLYCAB,Polycab India Limited
MPHASIS,Mphasis Limited
CUMMINSIND,Cummins India Limited
HDFCLIFE,HDFC Life Insurance Company Limited
LUPIN,Lupin Limited
COLPAL,Colgate Palmolive (India) Limited
TIINDIA,Tube Investments of India Limited
PETRONET,Petronet LNG Limited
MCDOWELL-N,United Spirits Limited
OFSS,Oracle Financial Services Software Limited
UNITDSPR,United Spirits Limited
AUROPHARMA,Aurobindo Pharma Limited
BIOCON,Biocon Limited
MAXHEALTH,Max Healthcare Institute Limited
TATACOMM,Tata Communications Limited
